price,year,make,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state
25990.0,2013.0,mercedes-benz,e-class e 550,good,8 cylinders,gas,42045.0,clean,automatic,rwd,full-size,coupe,white,ar
10900.0,2008.0,lexus,rx,excellent,6 cylinders,hybrid,103973.0,clean,automatic,fwd,full-size,SUV,silver,ar
6500.0,1986.0,ford,bronco eddie bauer,excellent,8 cylinders,gas,151000.0,clean,automatic,4wd,full-size,truck,brown,ca
22990.0,2017.0,volkswagen,golf gti se hatchback,good,6 cylinders,gas,34443.0,clean,other,fwd,full-size,sedan,silver,ca
65767.67399166214,2017.0,ford,f-250 super duty lariat lift 6.7 liter,good,8 cylinders,other,68326.0,clean,automatic,4wd,full-size,pickup,white,ca
29900.0,2011.0,ford,e450 super duty,good,10 cylinders,gas,113006.0,clean,automatic,rwd,full-size,truck,white,ca
30990.0,2017.0,toyota,tundra double cab sr,good,8 cylinders,gas,41124.0,clean,other,4wd,full-size,pickup,red,ca
9000.0,1982.955724281848,ford,f-150,good,8 cylinders,gas,100000.0,clean,automatic,4wd,full-size,pickup,blue,ca
9500.0,2006.0,toyota,tundra,good,8 cylinders,gas,240300.0,clean,automatic,rwd,full-size,truck,white,ca
3995.0,2002.0,chevrolet,blazer,excellent,6 cylinders,gas,176321.0,clean,automatic,rwd,full-size,SUV,white,ca
34590.0,2020.0,ford,Genesis G70 2.0T Sedan 4D,good,6 cylinders,other,1029.0,clean,other,4wd,full-size,sedan,red,ca
30590.0,2020.0,acura,tlx 3.5 sedan 4d,good,6 cylinders,gas,10005.0,clean,other,fwd,full-size,sedan,white,ca
12995.0,2018.0,kia,forte,excellent,6 cylinders,gas,59325.0,clean,automatic,fwd,full-size,sedan,white,ca
3999.0,2006.0,pontiac,vibe,good,4 cylinders,gas,192393.0,clean,automatic,fwd,compact,hatchback,red,ca
42995.0,2017.0,chevrolet,silverado 3500hd,good,6 cylinders,diesel,98213.0,clean,automatic,rwd,full-size,sedan,white,ca
2800.0,2000.0,bmw,328ci,good,6 cylinders,gas,1.0,missing,manual,4wd,full-size,sedan,white,ca
6900.0,2014.0,chevrolet,impala limited,excellent,6 cylinders,gas,126931.0,clean,automatic,fwd,full-size,sedan,silver,ca
32990.0,2015.0,ford,mustang gt coupe 2d,good,8 cylinders,gas,20832.0,clean,other,rwd,full-size,coupe,silver,ca
1500.0,1983.0,ford,f250,good,8 cylinders,diesel,120000.0,lien,automatic,rwd,full-size,truck,white,ca
39900.0,2018.0,ford,ISUZU NRR,good,4 cylinders,diesel,109459.0,clean,automatic,rwd,full-size,truck,white,ca
32990.0,2018.0,rover,discovery sport hse,good,6 cylinders,gas,30678.0,clean,other,4wd,full-size,SUV,white,ca
39990.0,2018.0,infiniti,qx80 sport utility 4d,good,8 cylinders,gas,57403.0,clean,automatic,4wd,full-size,SUV,brown,ca
36588.0,2018.0,toyota,tacoma,good,6 cylinders,gas,35849.0,clean,automatic,rwd,full-size,truck,white,ca
21000.0,2006.0,ram,2500,excellent,6 cylinders,diesel,89000.0,clean,manual,rwd,full-size,pickup,white,ca
38590.0,2020.0,lincoln,continental sedan 4d,good,6 cylinders,other,9800.0,clean,other,fwd,full-size,sedan,black,ca
